product,uf,volume,year_month,unit
GASOLINA C (m3),GOIÁS,123305.207,2013-01-01,m3
GASOLINA C (m3),DISTRITO FEDERAL,1123062.26,2013-01-01,m3
GASOLINA C (m3),RONDÔNIA,38988.0,2014-01-01,m3
GASOLINA C (m3),ACRE,11290.5,2014-01-01,m3
GASOLINA C (m3),AMAZONAS,58156.603,2014-01-01,m3
GASOLINA C (m3),RORAIMA,11589.0,2014-01-01,m3
GASOLINA C (m3),PARÁ,93391.5,2014-01-01,m3
GASOLINA C (m3),AMAPÁ,12920.2,2014-01-01,m3
GASOLINA C (m3),TOCANTINS,28191.83,2014-01-01,m3
GASOLINA C (m3),MARANHÃO,71219.009,2014-01-01,m3
GASOLINA C (m3),PIAUÍ,46557.44,2014-01-01,m3
GASOLINA C (m3),CEARÁ,102629.37,2014-01-01,m3
GASOLINA C (m3),RIO GRANDE DO NORTE,50572.5,2014-01-01,m3
GASOLINA C (m3),PARAÍBA,58607.387,2014-01-01,m3
GASOLINA C (m3),PERNAMBUCO,1497221.784,2014-01-01,m3
